platform_name,category,current_market_presence,language_learning_potential,substitute_likelihood,market_entry_strategy,estimated_contract_value,risk_level,evidence_source,recommendation
Google Workspace for Education,Generic E-learning Platform,Alto - Contratos governamentais confirmados com desconto de 35%,Alto - Google Classroom já integra com ferramentas de idiomas,Muito Alta,Expansão modular via Google Classroom + ferramentas de IA,"R$ 2.000.000 - R$ 5.000.000",Baixo,Acordo governo brasileiro 2024,Monitoramento prioritário
Microsoft Teams for Education,Corporate Training Platform,Alto - Implementação ampla no governo federal,Alto - Capacidades de videoconferência e colaboração ideais para idiomas,Alta,Integração com Microsoft Translator e ferramentas de idiomas,"R$ 1.500.000 - R$ 4.000.000",Baixo,Contratos educacionais confirmados,Acompanhar desenvolvimento de recursos
Moodle (via integradores),EAD Platform,Alto - Contratos confirmados TCE-SP e IFPI,Muito Alto - Já possui plugins de idiomas disponíveis,Muito Alta,Expansão via integradores especializados em idiomas,"R$ 500.000 - R$ 2.000.000",Médio,Contratos TCE-SP set/2024,Análise de integradores especializados
Canvas LMS,Generic E-learning Platform,Médio - Mencionado em estudos comparativos,Alto - Plataforma robusta para conteúdo multimídia,Alta,Entrada via parcerias com fornecedores locais,"R$ 800.000 - R$ 2.500.000",Médio,Estudos acadêmicos brasileiros,Identificar representantes locais
Blackboard Learn,EAD Platform,Médio - Presente em universidades brasileiras,Alto - Recursos avançados de avaliação e analytics,Alta,Expansão do ensino superior para governo,"R$ 1.000.000 - R$ 3.000.000",Médio,Presença em universidades,Monitorar expansão B2G
Zoom Education,Corporate Training Platform,Alto - Ampla adoção durante pandemia,Alto - Ideal para aulas ao vivo de idiomas,Alta,Parceria com provedores de conteúdo de idiomas,"R$ 300.000 - R$ 1.500.000",Baixo,Uso massivo COVID-19,Verificar parcerias educacionais
Adobe Creative Cloud for Education,Generic E-learning Platform,Médio - Presença em instituições de design,Médio - Ferramentas para criar conteúdo interativo,Média,Nicho específico para criação de materiais,"R$ 200.000 - R$ 800.000",Alto,Instituições criativas,Nicho especializado
Coursera for Business,Corporate Training Platform,Baixo - Presença limitada no setor público,Alto - Cursos de idiomas já disponíveis,Média,Expansão B2G com cursos prontos,"R$ 500.000 - R$ 1.500.000",Alto,Presença corporativa privada,Explorar modelo B2G
edX for Business,Corporate Training Platform,Baixo - Presença acadêmica limitada,Alto - Plataforma de cursos massivos,Média,Parcerias com universidades públicas,"R$ 400.000 - R$ 1.200.000",Alto,Modelo de negócio incerto,Monitorar evolução
Khan Academy,Generic E-learning Platform,Alto - Contrato confirmado MEC R$ 3.2M,Médio - Foco em matemática mas expansível,Média,Desenvolvimento de módulos específicos,"R$ 1.000.000 - R$ 3.000.000",Médio,Contrato MEC 2023,Acompanhar roadmap
Geekie Educação,EdTech Nacional,Alto - Contrato MEC R$ 2.3M confirmado,Médio - Plataforma de IA personalizável,Média,Expansão para idiomas via IA,"R$ 1.500.000 - R$ 4.000.000",Baixo,Contrato MEC 2023,Analisar capacidades de expansão
Eleva Educação,EdTech Nacional,Alto - Maior contrato identificado R$ 4.1M,Alto - Sistema integrado expansível,Alta,Módulos adicionais de idiomas,"R$ 2.000.000 - R$ 5.000.000",Baixo,Contrato MEC 2023,Prioridade máxima de monitoramento
Descomplica Educação,EdTech Nacional,Alto - Contrato ENAP R$ 1.2M,Alto - Videoaulas e preparatórios,Alta,Expansão para idiomas corporativos,"R$ 800.000 - R$ 2.500.000",Baixo,Contrato ENAP 2023,Acompanhar expansão
Arbo Educação,EdTech Nacional,Médio - Contrato CAPES R$ 980K,Alto - Analytics de aprendizagem,Alta,Especialização em idiomas via analytics,"R$ 500.000 - R$ 1.500.000",Médio,Contrato CAPES 2023,Monitorar desenvolvimento
Escola Digital,EdTech Nacional,Alto - Contrato FNDE R$ 1.85M,Alto - Gestão escolar expansível,Alta,Módulos de idiomas para gestão,"R$ 1.000.000 - R$ 3.000.000",Baixo,Contrato FNDE 2023,Análise de expansão
Udemy Business,Corporate Training Platform,Baixo - Presença corporativa privada,Alto - Amplo catálogo de idiomas,Média,Entrada via setor público,"R$ 300.000 - R$ 1.000.000",Alto,Mercado corporativo,Explorar B2G
LinkedIn Learning,Corporate Training Platform,Baixo - Uso corporativo limitado,Médio - Cursos profissionais em idiomas,Baixa,Nicho muito específico,"R$ 200.000 - R$ 600.000",Alto,Presença corporativa,Nicho restrito
Pluralsight,Corporate Training Platform,Baixo - Foco em tecnologia,Baixo - Não tem foco em idiomas,Baixa,Improvável entrada no mercado,"R$ 100.000 - R$ 400.000",Muito Alto,Nicho tecnológico,Não prioritário
Alura,EdTech Nacional,Médio - Foco em tecnologia,Baixo - Especialização técnica,Baixa,Expansão improvável para idiomas,"R$ 200.000 - R$ 800.000",Alto,Nicho tecnológico,Não prioritário
TOTVS Educacional,EdTech Nacional,Alto - Sistemas de gestão educacional,Médio - Plataforma expansível,Média,Módulos adicionais possíveis,"R$ 1.000.000 - R$ 3.000.000",Médio,Presença no mercado,Monitorar desenvolvimento
